Name,Locality,Popularity,Price,Rating,Category1,Category2,Category3,Latitude,Longitude,Bike_Station_Coordinates
Jamon Iberico Pata Negra,Miami,0.9788140085521433,2.0,9.0,Tapas Restaurant,,,25.773372,-80.202012,"25.767414,-80.199166"
North Italia,Miami,0.9790437148814362,3.0,8.6,Pizzeria,Italian Restaurant,,25.765175,-80.193516,"25.767414,-80.199166"
Baires Grill Brickell,Miami,0.9785312930699367,4.0,8.7,Lounge,Argentinian Restaurant,Steakhouse,25.763895,-80.193419,"25.767414,-80.199166"
Toscana Divino,Miami,0.9689012969572747,3.0,8.5,Italian Restaurant,,,25.764942,-80.193753,"25.767414,-80.199166"
B Bistro + Bakery,Miami,0.9779835318231614,1.0,8.9,Bakery,American Restaurant,French Restaurant,25.767614,-80.190939,"25.767414,-80.199166"
Cafe La Trova,Miami,0.9766052938474044,2.0,8.8,Cocktail Bar,Cuban Restaurant,Latin American Restaurant,25.766253,-80.210487,"25.765769,-80.211373"
Doce Provisions,Miami,0.9794147789518324,2.0,9.3,Bar,Cuban Restaurant,Tapas Restaurant,25.767898,-80.214142,"25.765769,-80.211373"
Pollo Operations,Miami,0.9952998551083154,1.0,8.2,Fast Food Restaurant,Latin American Restaurant,Mexican Restaurant,25.765976,-80.215828,"25.765769,-80.211373"
Azucar Ice Cream Company,Miami,0.9619747676432131,1.0,9.1,Burger Joint,Ice Cream Parlor,Mexican Restaurant,25.765879,-80.219632,"25.765769,-80.211373"
Old's Havana Cuban Bar & Cocina,Miami,0.9839205569495,2.0,8.8,Bar,Gastropub,Cuban Restaurant,25.765663,-80.219248,"25.765769,-80.211373"
Arahis Bakery & Restaurant,Miami,0.9764285966710252,1.0,8.0,Bakery,Cuban Restaurant,,25.766215,-80.20655,"25.765769,-80.211373"
Union Beer Store,Miami,0.9573806410573559,,8.8,Beer Bar,Wine Bar,Restaurant,25.765851,-80.220384,"25.765769,-80.211373"
Los Pinarenos Fruteria,Miami,0.9430505000530092,2.0,7.9,Cuban Restaurant,Spanish Restaurant,,25.765654,-80.216835,"25.765769,-80.211373"
La Esquina De La Fama,Miami,0.9625048591723504,2.0,8.1,Cuban Restaurant,Latin American Restaurant,,25.765613,-80.218276,"25.765769,-80.211373"
El Nuevo Siglo Supermarket,Miami,0.9512315793193625,2.0,7.9,Cuban Restaurant,Latin American Restaurant,,25.766103,-80.216422,"25.765769,-80.211373"
Pinolandia,Miami,0.9959536346609181,1.0,8.4,Fast Food Restaurant,Mexican Restaurant,South American Restaurant,25.774759,-80.214379,"25.779881,-80.218424"
Yambo Restaurant,Miami,0.9826660069972082,1.0,7.8,South American Restaurant,Spanish Restaurant,,25.772623,-80.222249,"25.779881,-80.218424"
The Clevelander at Marlins Park,Miami,0.8783970032158886,2.0,6.4,Bar,BBQ Joint,Pizzeria,25.778119,-80.219496,"25.779881,-80.218424"
Wendy's,Miami,0.992366681980422,1.0,6.0,Fast Food Restaurant,,,25.780335,-80.220988,"25.779881,-80.218424"
Palace Cafe & Dairy,Miami,0.9845743365021027,,,Burger Joint,Deli,Ice Cream Parlor,25.779937,-80.216694,"25.779881,-80.218424"
Taste of Miami,Miami,0.8772838110047001,2.0,,Cuban Restaurant,,,25.777865,-80.220884,"25.779881,-80.218424"
New York Roma Pizza,Miami,0.7303070996925469,1.0,,Pizzeria,,,25.780242,-80.223704,"25.779881,-80.218424"
La Valentina Mexican Kitchen,Miami,0.9848747217019472,1.0,,Mexican Restaurant,,,25.780031,-80.226224,"25.779881,-80.218424"
Krispy Rice,Miami,,2.0,,Sushi Restaurant,,,25.786833,-80.219382,"25.779881,-80.218424"
Thank You Miami Cocina & Beerhouse,Miami,0.9858112167367565,2.0,,Music Venue,Bar,American Restaurant,25.773462,-80.223156,"25.779881,-80.218424"
Casa Tua Cucina,Miami,0.9934798741916104,2.0,9.0,Wine Bar,"Cafe, Coffee, and Tea House",Italian Restaurant,25.767109,-80.194571,"25.767497,-80.195732"
Stanzione 87,Miami,0.956956567834046,2.0,8.8,Pizzeria,Italian Restaurant,Mediterranean Restaurant,25.766582,-80.195063,"25.767497,-80.195732"
Blackbird Ordinary,Miami,0.9895748665936318,2.0,8.6,Cocktail Bar,Sandwich Spot,,25.766627,-80.195107,"25.767497,-80.195732"
La Sandwicherie,Miami,0.9912534897692334,1.0,8.7,Fast Food Restaurant,French Restaurant,Sandwich Spot,25.766005,-80.194025,"25.767497,-80.195732"
The River Oyster Bar,Miami,0.9731596989080115,3.0,9.0,American Restaurant,Seafood Restaurant,,25.767554,-80.19353,"25.767497,-80.195732"
B Bistro + Bakery,Miami,0.9779835318231614,1.0,8.9,Bakery,American Restaurant,French Restaurant,25.767614,-80.190939,"25.767497,-80.195732"
Toscana Divino,Miami,0.9689012969572747,3.0,8.5,Italian Restaurant,,,25.764942,-80.193753,"25.767497,-80.195732"
North Italia,Miami,0.9790437148814362,3.0,8.6,Pizzeria,Italian Restaurant,,25.765175,-80.193516,"25.767497,-80.195732"
Baires Grill Brickell,Miami,0.9785312930699367,4.0,8.7,Lounge,Argentinian Restaurant,Steakhouse,25.763895,-80.193419,"25.767497,-80.195732"
Truluck's,Miami,0.9864649962893592,4.0,8.9,Seafood Restaurant,,,25.7664,-80.189738,"25.767497,-80.195732"
Gyu-Kaku Japanese BBQ,Miami,0.9839912358200515,2.0,8.9,Japanese Restaurant,Tapas Restaurant,,25.761287,-80.19427,"25.76258,-80.193948"
Baires Grill Brickell,Miami,0.9785312930699367,4.0,8.7,Lounge,Argentinian Restaurant,Steakhouse,25.763895,-80.193419,"25.76258,-80.193948"
Coyo Taco,Miami,0.9849984097254126,,8.4,Fast Food Restaurant,Tex-Mex Restaurant,,25.762739,-80.195004,"25.76258,-80.193948"
Piola Miami Brickell,Miami,0.9822772732091741,2.0,8.3,Pizzeria,Italian Restaurant,,25.762047,-80.193541,"25.76258,-80.193948"
Freddo,Miami,0.9495882955790367,1.0,8.3,Café,Ice Cream Parlor,Restaurant,25.763347,-80.193345,"25.76258,-80.193948"
Barsecco,Miami,0.9795561366929356,2.0,8.6,Lounge,Italian Restaurant,Tapas Restaurant,25.760236,-80.193309,"25.76258,-80.193948"
North Italia,Miami,0.9790437148814362,3.0,8.6,Pizzeria,Italian Restaurant,,25.765175,-80.193516,"25.76258,-80.193948"
My Ceviche,Miami,0.9436336007350603,2.0,8.2,Latin American Restaurant,Mexican Restaurant,Seafood Restaurant,25.762047,-80.193541,"25.76258,-80.193948"
Batch Gastropub: Miami,Miami,0.9867477117715658,2.0,8.0,Bar,Gastropub,American Restaurant,25.762342,-80.194144,"25.76258,-80.193948"
Latin Cafe 2000,Miami,0.9778068346467823,2.0,8.4,Cuban Restaurant,South American Restaurant,,25.76385,-80.192517,"25.76258,-80.193948"
Komodo (Miami),Miami,0.9843799696080857,4.0,8.8,Asian Restaurant,,,25.765533,-80.19044,"25.76589,-80.191042"
Truluck's,Miami,0.9864649962893592,4.0,8.9,Seafood Restaurant,,,25.7664,-80.189738,"25.76589,-80.191042"
B Bistro + Bakery,Miami,0.9779835318231614,1.0,8.9,Bakery,American Restaurant,French Restaurant,25.767614,-80.190939,"25.76589,-80.191042"
The River Oyster Bar,Miami,0.9731596989080115,3.0,9.0,American Restaurant,Seafood Restaurant,,25.767554,-80.19353,"25.76589,-80.191042"
Atelier Monnier Brickell Cafe,Miami,0.958158108633424,2.0,8.4,Bakery,French Restaurant,,25.765088,-80.191481,"25.76589,-80.191042"
Fleming's Prime Steakhouse & Wine Bar,Miami,0.9644485281125208,4.0,8.7,Steakhouse,,,25.767492,-80.190974,"25.76589,-80.191042"
Casa Tua Cucina,Miami,0.9934798741916104,2.0,9.0,Wine Bar,"Cafe, Coffee, and Tea House",Italian Restaurant,25.767109,-80.194571,"25.76589,-80.191042"
La Sandwicherie,Miami,0.9912534897692334,1.0,8.7,Fast Food Restaurant,French Restaurant,Sandwich Spot,25.766005,-80.194025,"25.76589,-80.191042"
Baires Grill Brickell,Miami,0.9785312930699367,4.0,8.7,Lounge,Argentinian Restaurant,Steakhouse,25.763895,-80.193419,"25.76589,-80.191042"
North Italia,Miami,0.9790437148814362,3.0,8.6,Pizzeria,Italian Restaurant,,25.765175,-80.193516,"25.76589,-80.191042"
The Capital Grille,Miami,0.9650846379474856,3.0,9.0,American Restaurant,Steakhouse,,25.769409,-80.190375,"25.771428,-80.190815"
Zuma Miami,Miami,0.9726649468141499,4.0,9.1,Sushi Restaurant,,,25.770537,-80.189542,"25.771428,-80.190815"
Area 31,Miami,0.9682298476870339,3.0,8.4,Japanese Restaurant,New American Restaurant,Seafood Restaurant,25.770508,-80.189435,"25.771428,-80.190815"
Cafe Bastille,Miami,0.9695904159451532,2.0,8.5,Café,French Restaurant,Mediterranean Restaurant,25.773345,-80.189435,"25.771428,-80.190815"
Novikov,Miami,0.9811640809979857,2.0,8.7,Chinese Restaurant,Japanese Restaurant,,25.771198,-80.187467,"25.771428,-80.190815"
Cipriani Miami Downtow,Miami,0.9858642258896703,4.0,8.7,Italian Restaurant,,,25.769073,-80.18864,"25.771428,-80.190815"
The River Oyster Bar,Miami,0.9731596989080115,3.0,9.0,American Restaurant,Seafood Restaurant,,25.767554,-80.19353,"25.771428,-80.190815"
B Bistro + Bakery,Miami,0.9779835318231614,1.0,8.9,Bakery,American Restaurant,French Restaurant,25.767614,-80.190939,"25.771428,-80.190815"
Cvi.Che 105,Miami,0.9797858430222285,2.0,9.1,Diner,Peruvian Restaurant,Seafood Restaurant,25.775422,-80.188448,"25.771428,-80.190815"
Cantina La Veinte,Miami,0.9835848323143797,3.0,8.7,Tex-Mex Restaurant,,,25.768284,-80.188405,"25.771428,-80.190815"
Zuma Miami,Miami,0.9726649468141499,4.0,9.1,Sushi Restaurant,,,25.770537,-80.189542,"25.7717329,-80.1899646"
The Capital Grille,Miami,0.9650846379474856,3.0,9.0,American Restaurant,Steakhouse,,25.769409,-80.190375,"25.7717329,-80.1899646"
Novikov,Miami,0.9811640809979857,2.0,8.7,Chinese Restaurant,Japanese Restaurant,,25.771198,-80.187467,"25.7717329,-80.1899646"
Cafe Bastille,Miami,0.9695904159451532,2.0,8.5,Café,French Restaurant,Mediterranean Restaurant,25.773345,-80.189435,"25.7717329,-80.1899646"
Area 31,Miami,0.9682298476870339,3.0,8.4,Japanese Restaurant,New American Restaurant,Seafood Restaurant,25.770508,-80.189435,"25.7717329,-80.1899646"
Cipriani Miami Downtow,Miami,0.9858642258896703,4.0,8.7,Italian Restaurant,,,25.769073,-80.18864,"25.7717329,-80.1899646"
Cvi.Che 105,Miami,0.9797858430222285,2.0,9.1,Diner,Peruvian Restaurant,Seafood Restaurant,25.775422,-80.188448,"25.7717329,-80.1899646"
Il Gabbiano,Miami,0.9722055341555642,4.0,9.3,Italian Restaurant,Seafood Restaurant,,25.771737,-80.185428,"25.7717329,-80.1899646"
La Granja,Miami,0.9876842068063753,1.0,8.0,Fast Food Restaurant,Mexican Restaurant,Peruvian Restaurant,25.772741,-80.190006,"25.7717329,-80.1899646"
Cantina La Veinte,Miami,0.9835848323143797,3.0,8.7,Tex-Mex Restaurant,,,25.768284,-80.188405,"25.7717329,-80.1899646"
The Capital Grille,Miami,0.9650846379474856,3.0,9.0,American Restaurant,Steakhouse,,25.769409,-80.190375,"25.7725576,-80.1921467"
Zuma Miami,Miami,0.9726649468141499,4.0,9.1,Sushi Restaurant,,,25.770537,-80.189542,"25.7725576,-80.1921467"
Cafe Bastille,Miami,0.9695904159451532,2.0,8.5,Café,French Restaurant,Mediterranean Restaurant,25.773345,-80.189435,"25.7725576,-80.1921467"
Cvi.Che 105,Miami,0.9797858430222285,2.0,9.1,Diner,Peruvian Restaurant,Seafood Restaurant,25.775422,-80.188448,"25.7725576,-80.1921467"
The River Oyster Bar,Miami,0.9731596989080115,3.0,9.0,American Restaurant,Seafood Restaurant,,25.767554,-80.19353,"25.7725576,-80.1921467"
Area 31,Miami,0.9682298476870339,3.0,8.4,Japanese Restaurant,New American Restaurant,Seafood Restaurant,25.770508,-80.189435,"25.7725576,-80.1921467"
La Granja,Miami,0.9876842068063753,1.0,8.0,Fast Food Restaurant,Mexican Restaurant,Peruvian Restaurant,25.772741,-80.190006,"25.7725576,-80.1921467"
